TIME,PID,D0,D1,D2,D3,D4,D5,D6,D7,CRC
23.112306562499999,0x07,0xBB,0xFF,0xA0,0x72,0x4C,,,,0x9D
23.212790750000000,0x06,0x02,0x40,0x00,0x4C,0xD7,0x72,0x4F,0x00,0xD1
23.313282500000000,0x07,0xB2,0xFF,0xD4,0x72,0x4C,,,,0x72
23.413767000000000,0x06,0x02,0x40,0x00,0x4C,0xCD,0x72,0x44,0x00,0xE6
23.514255562500001,0x07,0xBC,0xFF,0xD3,0x72,0x4C,,,,0x69
23.614744500000000,0x06,0x02,0x40,0x00,0x4C,0xD0,0x72,0x43,0x00,0xE4
23.715233437500000,0x07,0xBD,0xFF,0xC6,0x72,0x4C,,,,0x75
23.815722000000001,0x06,0x02,0x40,0x00,0x4C,0xBF,0x72,0x4B,0x00,0xED
23.916210625000001,0x07,0xBA,0xFF,0xCF,0x72,0x4C,,,,0x6F
24.016699625000001,0x06,0x02,0x40,0x00,0x4C,0xCD,0x72,0x44,0x00,0xE6
24.117188250000002,0x07,0xBD,0xFF,0xB5,0x72,0x4C,,,,0x86
24.217677187500001,0x06,0x02,0x40,0x00,0x4C,0xCB,0x72,0x43,0x00,0xE9
24.318165437499999,0x07,0xBB,0xFF,0xCB,0x72,0x4C,,,,0x72
24.418649750000000,0x06,0x02,0x40,0x00,0x4C,0xA7,0x72,0x50,0x00,0x01
24.519138375000001,0x07,0xB5,0xFF,0x9E,0x72,0x4C,,,,0xA5
24.619627375000000,0x06,0x02,0x40,0x00,0x4C,0xC5,0x72,0x45,0x00,0xED
24.720116250000000,0x07,0xBE,0xFF,0xC6,0x72,0x4C,,,,0x74
24.820604750000001,0x06,0x02,0x40,0x00,0x4C,0x94,0x72,0x45,0x00,0x1F
24.921093500000001,0x07,0xB8,0xFF,0xC3,0x72,0x4C,,,,0x7D
25.021582500000001,0x06,0x02,0x40,0x00,0x4C,0xC3,0x72,0x50,0x00,0xE4
25.122071125000002,0x07,0xB8,0xFF,0xBD,0x72,0x4C,,,,0x83
25.222559937500002,0x06,0x02,0x40,0x00,0x4C,0xB8,0x72,0x45,0x00,0xFA
25.323048249999999,0x07,0xBE,0xFF,0xBF,0x72,0x4C,,,,0x7B
25.423532562500000,0x06,0x02,0x40,0x00,0x4C,0xBE,0x72,0x47,0x00,0xF2
25.524021187500001,0x07,0xB3,0xFF,0xB1,0x72,0x4C,,,,0x94
25.624510250000000,0x06,0x02,0x00,0x00,0x4C,0x34,0x73,0xDA,0x01,0x28
25.724999062500000,0x07,0xE6,0x01,0x57,0x73,0x4C,,,,0xB9
25.825488249999999,0x06,0x02,0x00,0x00,0x4C,0x53,0x73,0xDE,0x01,0x05
25.925976875000000,0x07,0xEC,0x01,0x53,0x73,0x4C,,,,0xB7
26.026465875000000,0x06,0x02,0x00,0x00,0x4C,0x71,0x73,0xE3,0x01,0xE1
26.126954562500000,0x07,0xF0,0x01,0x78,0x73,0x4C,,,,0x8E
26.227438875000001,0x06,0x02,0x00,0x00,0x4C,0x5D,0x73,0xF2,0x01,0xE6
26.327931124999999,0x07,0xEE,0x01,0x7F,0x73,0x4C,,,,0x89
26.428415375000000,0x06,0x02,0x00,0x00,0x4C,0x85,0x73,0xF1,0x01,0xBF
26.528904187500000,0x07,0xEA,0x01,0x5F,0x73,0x4C,,,,0xAD
26.629393000000000,0x06,0x02,0x00,0x00,0x4C,0x59,0x73,0xF0,0x01,0xEC
26.729881937500000,0x07,0xEC,0x01,0x91,0x73,0x4C,,,,0x79
26.830371062499999,0x06,0x02,0x00,0x00,0x4C,0x90,0x73,0xF4,0x01,0xB1
26.930859750000000,0x07,0xE8,0x01,0x91,0x73,0x4C,,,,0x7D
27.031348687500000,0x06,0x02,0x00,0x00,0x4C,0x9A,0x73,0xF3,0x01,0xA8
27.131837375000000,0x07,0xEC,0x01,0x9E,0x73,0x4C,,,,0x6C
27.232321625000001,0x06,0x02,0x00,0x00,0x4C,0x99,0x73,0xF2,0x01,0xAA
27.332813687500000,0x07,0xF1,0x01,0x97,0x73,0x4C,,,,0x6E
