rosbagTimestamp,northing,data,easting,data
1526291572074788459,,5548283.71366,,7422651.14098
1526291572124358739,,5548283.71441,,7422651.14087
1526291572174327655,,5548283.71253,,7422651.14216
1526291572224602421,,5548283.71292,,7422651.14133
1526291572274615372,,5548283.7146,,7422651.14028
1526291572324708397,,5548283.7105,,7422651.14141
1526291572374577395,,5548283.71164,,7422651.13964
1526291572424462468,,5548283.71291,,7422651.14192
1526291572474607493,,5548283.71255,,7422651.14108
1526291572524757940,,5548283.71348,,7422651.14086
1526291572574617628,,5548283.7131,,7422651.14121
1526291572624792253,,5548283.71162,,7422651.14107
1526291572674699181,,5548283.71274,,7422651.14037
1526291572724734625,,5548283.71459,,7422651.14075
1526291572774586690,,5548283.71442,,7422651.13968
1526291572825129340,,5548283.71239,,7422651.13929
1526291572874593924,,5548283.71366,,7422651.14086
1526291572924845443,,5548283.71461,,7422651.1392
1526291572974422628,,5548283.7133,,7422651.14026
1526291573024758140,,5548283.71294,,7422651.13942
1526291573074725667,,5548283.71424,,7422651.13943
1526291573124588698,,5548283.71478,,7422651.14052
1526291573174537314,,5548283.71386,,7422651.14015
1526291573224716029,,5548283.71478,,7422651.1404
1526291573274606084,,5548283.71405,,7422651.14015
1526291573324267411,,5548283.7135,,7422651.13966
1526291573374486086,,5548283.7146,,7422651.14039
1526291573424875856,,5548283.7146,,7422651.14016
1526291573474767691,,5548283.7159,,7422651.13982
1526291573524474554,,5548283.71423,,7422651.14051
1526291573574077109,,5548283.71498,,7422651.1398
1526291573624390040,,5548283.71498,,7422651.13968
1526291573674631571,,5548283.71721,,7422651.139
1526291573724715581,,5548283.71533,,7422651.14124
1526291573774341029,,5548283.71441,,7422651.14063
1526291573824951234,,5548283.71646,,7422651.13983
1526291573874598712,,5548283.71607,,7422651.14113
1526291573924653626,,5548283.71608,,7422651.14042
1526291573974635296,,5548283.71682,,7422651.14043
1526291574024464599,,5548283.71737,,7422651.14067
1526291574074724613,,5548283.71775,,7422651.14068
1526291574124305596,,5548283.71529,,7422651.14351
1526291574174431178,,5548283.71512,,7422651.14243
1526291574224318907,,5548283.71697,,7422651.14282
1526291574274644332,,5548283.714,,7422651.14301
1526291574324653804,,5548283.71475,,7422651.14278
1526291574374563459,,5548283.71604,,7422651.14304
1526291574424999021,,5548283.71456,,7422651.14278
1526291574474443432,,5548283.71586,,7422651.14316
1526291574524545574,,5548283.71588,,7422651.14161
1526291574576652983,,5548283.71642,,7422651.14257
1526291574624698005,,5548283.71623,,7422651.14292
1526291574674878370,,5548283.71678,,7422651.14305
1526291574724141309,,5548283.71753,,7422651.14294
1526291574774488632,,5548283.71661,,7422651.14198
1526291574825251112,,5548283.71567,,7422651.14316
1526291574874328453,,5548283.71735,,7422651.14258
1526291574924780119,,5548283.7179,,7422651.14259
1526291574974414317,,5548283.71717,,7422651.14198
1526291575024636552,,5548283.71604,,7422651.14304
1526291575074825762,,5548283.71772,,7422651.14259
1526291575124470864,,5548283.71565,,7422651.14435
1526291575174141716,,5548283.71679,,7422651.14281
1526291575224982160,,5548283.71754,,7422651.14235
1526291575274308822,,5548283.71418,,7422651.14337
1526291575324725533,,5548283.71364,,7422651.14229
1526291575374449959,,5548283.71287,,7422651.14419
1526291575424480183,,5548283.71419,,7422651.14301
1526291575474229891,,5548283.71548,,7422651.14327
1526291575524649491,,5548283.71399,,7422651.14385
1526291575574193230,,5548283.714,,7422651.14313
1526291575624813480,,5548283.71454,,7422651.14409
1526291575674217868,,5548283.71437,,7422651.14326
1526291575724638070,,5548283.7153,,7422651.14327
1526291575774240043,,5548283.71324,,7422651.14431
1526291575824255988,,5548283.71529,,7422651.14399
1526291575874623489,,5548283.71568,,7422651.1428
1526291575924269544,,5548283.71529,,7422651.14375
1526291575974467228,,5548283.71568,,7422651.14256
1526291576025072716,,5548283.71603,,7422651.14423
1526291576074189462,,5548283.71529,,7422651.14399
1526291576124475646,,5548283.71323,,7422651.14515
1526291576174163249,,5548283.71529,,7422651.1441
1526291576224533088,,5548283.71658,,7422651.14412
1526291576274514624,,5548283.71453,,7422651.14493
1526291576324695474,,5548283.71474,,7422651.1435
1526291576373964815,,5548283.71548,,7422651.14351
1526291576424208322,,5548283.7164,,7422651.14376
1526291576474073080,,5548283.71621,,7422651.14424
1526291576524197373,,5548283.7164,,7422651.144
1526291576574782037,,5548283.71585,,7422651.14375
1526291576624047521,,5548283.71509,,7422651.1447
1526291576674570219,,5548283.71658,,7422651.14412
1526291576724447954,,5548283.71676,,7422651.14448
1526291576774235776,,5548283.71677,,7422651.14425
1526291576824556699,,5548283.7164,,7422651.14388
1526291576874319109,,5548283.71583,,7422651.14459
1526291576924380814,,5548283.71621,,7422651.14436
1526291576974460296,,5548283.71788,,7422651.14438
1526291577024286716,,5548283.71771,,7422651.1433
1526291577074240017,,5548283.7164,,7422651.144
1526291577124070925,,5548283.71676,,7422651.14472
1526291577174155480,,5548283.71714,,7422651.14377
1526291577223886678,,5548283.71658,,7422651.144
1526291577277076370,,5548283.7164,,7422651.144
1526291577324278406,,5548283.71141,,7422651.14274
1526291577373889182,,5548283.71198,,7422651.14203
1526291577424258781,,5548283.71308,,7422651.143
1526291577473954025,,5548283.71253,,7422651.14216
1526291577524475454,,5548283.71179,,7422651.14203
