rosbagTimestamp,northing,data,status,data,easting,data
1526641306321763277,,5548336.67477,,2,,7422483.24695
1526641306372207154,,5548336.67512,,2,,7422483.24815
1526641306422288125,,5548336.67713,,2,,7422483.24997
1526641306471690729,,5548336.67936,,2,,7422483.24965
1526641306521937571,,5548336.67639,,2,,7422483.24996
1526641306571399526,,5548336.67565,,2,,7422483.24971
1526641306621550419,,5548336.6788,,2,,7422483.24976
1526641306672437992,,5548336.67899,,2,,7422483.25
1526641306721984554,,5548336.6788,,2,,7422483.25
1526641306771832380,,5548336.67769,,2,,7422483.24986
1526641306822249623,,5548336.67732,,2,,7422483.24962
1526641306871725216,,5548336.67825,,2,,7422483.24999
1526641306925278222,,5548336.68028,,2,,7422483.25014
1526641306971931399,,5548336.68067,,2,,7422483.24895
1526641307021991189,,5548336.68083,,2,,7422483.2505
1526641307071852938,,5548336.67993,,2,,7422483.24906
1526641307121785705,,5548336.6812,,2,,7422483.25087
1526641307171820067,,5548336.67936,,2,,7422483.24953
1526641307222160967,,5548336.67566,,2,,7422483.24959
1526641307271891551,,5548336.67695,,2,,7422483.25009
1526641307321717526,,5548336.67638,,2,,7422483.25044
1526641307371969475,,5548336.67879,,2,,7422483.25071
1526641307422069129,,5548336.67712,,2,,7422483.25057
1526641307471805818,,5548336.68046,,2,,7422483.25062
1526641307522060739,,5548336.67824,,2,,7422483.25058
1526641307572125024,,5548336.67956,,2,,7422483.24905
1526641307621916287,,5548336.6788,,2,,7422483.25012
1526641307671884341,,5548336.67825,,2,,7422483.24963
1526641307721693471,,5548336.68065,,2,,7422483.25014
1526641307772067206,,5548336.68028,,2,,7422483.25038
1526641307822185367,,5548336.68196,,2,,7422483.2498
1526641307871974385,,5548336.68121,,2,,7422483.24979
1526641307922171621,,5548336.6814,,2,,7422483.24991
1526641307972566528,,5548336.67991,,2,,7422483.25001
1526641308022393048,,5548336.68065,,2,,7422483.25014
1526641308072048982,,5548336.68177,,2,,7422483.24968
1526641308121892170,,5548336.6812,,2,,7422483.25051
1526641308171488788,,5548336.68233,,2,,7422483.24933
1526641308221586037,,5548336.6816,,2,,7422483.24908
1526641308271637990,,5548336.6825,,2,,7422483.25088
1526641308321324571,,5548336.68215,,2,,7422483.24933
1526641308371820028,,5548336.6814,,2,,7422483.24991
1526641308421253220,,5548336.67734,,2,,7422483.24866
1526641308471648083,,5548336.67698,,2,,7422483.24782
1526641308521971353,,5548336.67954,,2,,7422483.25048
1526641308571184434,,5548336.6779,,2,,7422483.24855
1526641308621379112,,5548336.67883,,2,,7422483.24833
1526641308671890641,,5548336.67846,,2,,7422483.24784
1526641308721963005,,5548336.67401,,2,,7422483.24778
1526641308771488831,,5548336.67346,,2,,7422483.24729
1526641308821873301,,5548336.67345,,2,,7422483.24813
1526641308872178612,,5548336.6742,,2,,7422483.24742
1526641308922010522,,5548336.67403,,2,,7422483.24659
1526641308971903871,,5548336.67568,,2,,7422483.2478
1526641309021762799,,5548336.67532,,2,,7422483.24744
1526641309072135226,,5548336.67533,,2,,7422483.2466
1526641309121880044,,5548336.67533,,2,,7422483.24648
1526641309172012287,,5548336.67552,,2,,7422483.24613
1526641309221835201,,5548336.6757,,2,,7422483.24685
1526641309272181313,,5548336.67535,,2,,7422483.24505
1526641309321847800,,5548336.67553,,2,,7422483.24541
1526641309372113085,,5548336.67404,,2,,7422483.24611
1526641309421984573,,5548336.67478,,2,,7422483.24624
1526641309472193196,,5548336.67499,,2,,7422483.24457
1526641309521534692,,5548336.67237,,2,,7422483.24632
