rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,"\ instead.\n""",file,function,line,topics
1523877370656892193,,177,,1523877370,656657760,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.7447424069533763458)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877370668756317,,178,,1523877370,668517116,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.7447424069533763458)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877371657000235,,179,,1523877371,656669409,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.5526147711017532771)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877371668758973,,180,,1523877371,668500243,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.5526147711017532771)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877372610459943,,181,,1523877372,610240711,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523877372656876162,,182,,1523877372,656657659,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.6695948830599953716)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877372668684820,,183,,1523877372,668492754,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.6695948830599953716)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877373656878634,,184,,1523877373,656656178,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 2.6945036260539172446)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523877373668802611,,185,,1523877373,668516379,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 2.6945036260539172446)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523877374613058134,,186,,1523877374,612832571,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
