Syntax version=4
Wed Apr 04 09:16:38 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	474.31	0.106307	0
D:	475.30	0.106307	0
D:	476.31	0.106307	0
D:	477.31	0.106307	0
D:	478.31	0.106307	0
D:	479.31	0.106307	0
D:	480.35	0.106307	0
D:	481.35	0.106307	0
D:	482.39	0.106307	0
D:	483.39	0.106307	0
D:	484.38	0.106307	0
D:	485.40	0.106307	0
D:	486.37	0.106307	0
D:	487.33	0.106307	0
D:	488.30	0.106307	0
D:	489.31	0.106307	0
D:	490.32	0.106307	0
D:	491.30	0.106307	0
D:	492.34	0.106307	0
D:	493.35	0.106307	0
D:	494.42	0.106307	0
D:	495.41	0.106307	0
D:	496.44	0.106307	0
D:	497.50	0.106307	0
D:	498.49	0.106307	0
D:	499.46	0.106307	0
D:	500.43	0.106307	0
D:	501.38	0.106307	0
D:	502.40	0.106307	0
D:	503.32	0.106307	0
D:	504.35	0.106307	0
D:	505.32	0.106307	0
D:	506.36	0.106307	0
D:	507.33	0.106307	0
D:	508.35	0.106307	0
D:	509.35	0.106307	0
D:	510.36	0.106307	0
D:	511.34	0.106307	0
D:	512.26	0.106307	0
D:	513.18	0.106307	0
D:	514.21	0.106307	0
D:	515.23	0.106307	0
D:	516.25	0.106307	0
D:	517.17	0.106307	0
D:	518.08	0.106307	0
D:	518.97	0.106307	0
D:	519.99	0.106307	0
D:	520.97	0.106307	0
D:	521.99	0.106307	0
D:	522.98	0.106307	0
D:	523.99	0.106307	0
D:	524.96	0.106307	0
D:	526.00	0.106307	0
D:	526.97	0.106307	0
D:	527.99	0.106307	0
D:	528.99	0.106307	0
D:	530.04	0.106307	0
D:	531.04	0.106307	0
D:	532.05	0.106307	0
D:	532.97	0.106307	0
D:	533.96	0.106307	0
D:	534.95	0.106307	0
D:	535.79	0.106307	0
D:	536.61	0.106307	0
D:	537.43	0.106307	0
D:	538.25	0.106307	0
D:	539.07	0.106307	0
D:	539.94	0.106307	0
D:	540.95	0.106307	0
D:	541.79	0.106307	0
D:	542.61	0.106307	0
D:	543.42	0.106307	0
D:	544.26	0.106307	0
D:	545.14	0.106307	0
D:	545.98	0.106307	0
D:	546.94	0.106307	0
D:	547.98	0.106307	0
D:	548.96	0.106307	0
D:	549.98	0.106307	0
D:	550.96	0.106307	0
D:	551.94	0.106307	0
D:	552.77	0.106307	0
D:	553.59	0.106307	0
D:	554.40	0.106307	0
D:	555.22	0.106307	0
D:	556.08	0.106307	0
D:	556.92	0.106307	0
D:	557.84	0.106307	0
D:	558.72	0.106307	0
D:	559.65	0.106307	0
D:	560.63	0.106307	0
D:	561.59	0.106307	0
D:	562.50	0.106307	0
D:	563.45	0.106307	0
D:	564.37	0.106307	0
D:	565.40	0.106307	0
D:	566.38	0.106307	0
D:	567.23	0.106307	0
D:	568.12	0.106307	0
D:	569.06	0.106307	0
D:	570.04	0.106307	0
D:	570.98	0.106307	0
D:	571.97	0.106307	0
D:	572.98	0.106307	0
D:	574.07	0.106307	0
D:	575.06	0.106307	0
D:	576.06	0.106307	0
D:	577.06	0.106307	0
D:	578.07	0.106307	0
D:	579.21	0.106307	0
D:	580.19	0.106307	0
D:	581.23	0.106307	0
D:	582.30	0.106307	0
D:	583.35	0.106307	0
D:	584.32	0.106307	0
D:	585.32	0.106307	0
D:	586.48	0.106307	0
D:	587.53	0.106307	0
D:	588.60	0.106307	0
D:	589.66	0.106307	0
D:	590.73	0.106307	0
D:	591.71	0.106307	0
D:	592.70	0.106307	0
D:	593.73	0.106307	0
D:	594.76	0.106307	0
D:	595.76	0.106307	0
D:	596.81	0.106307	0
D:	598.05	0.106307	0
D:	599.20	0.106307	0
D:	600.25	0.106307	0
D:	601.26	0.106307	0
D:	602.42	0.106307	0
D:	603.38	0.106307	0
D:	604.32	0.106307	0
D:	605.43	0.106307	0
D:	606.54	0.106307	0
D:	607.61	0.106307	0
D:	608.68	0.106307	0
D:	609.74	0.106307	0
D:	610.79	0.106307	0
D:	611.83	0.106307	0
D:	613.00	0.106307	0
D:	614.11	0.106307	0
D:	615.18	0.106307	0
D:	616.26	0.106307	0
D:	617.34	0.106307	0
D:	618.42	0.106307	0
D:	619.51	0.106307	0
D:	620.59	0.106307	0
D:	621.64	0.106307	0
D:	622.73	0.106307	0
D:	623.73	0.106307	0
D:	624.76	0.106307	0
D:	625.83	0.106307	0
D:	627.01	0.106307	0
D:	628.09	0.106307	0
D:	629.11	0.106307	0
D:	630.17	0.106307	0
D:	631.19	0.106307	0
D:	632.80	0.106307	0
D:	634.03	0.106307	0
D:	635.26	0.106307	0
D:	636.34	0.106307	0
D:	637.39	0.106307	0
D:	638.45	0.106307	0
D:	639.52	0.106307	0
D:	640.64	0.106307	0
D:	641.73	0.106307	0
D:	642.79	0.106307	0
D:	643.86	0.106307	0
D:	645.03	0.106307	0
D:	646.03	0.106307	0
D:	647.10	0.106307	0
D:	648.13	0.106307	0
D:	649.22	0.106307	0
D:	650.30	0.106307	0
D:	651.51	0.106307	0
D:	652.62	0.106307	0
D:	653.70	0.106307	0
D:	654.81	0.106307	0
D:	655.80	0.106307	0
D:	656.85	0.106307	0
D:	657.97	0.106307	0
D:	659.04	0.106307	0
D:	660.13	0.106307	0
D:	661.20	0.106307	0
D:	662.23	0.106307	0
D:	663.29	0.106307	0
D:	664.32	0.106307	0
D:	665.39	0.106307	0
D:	666.63	0.106307	0
D:	667.80	0.106307	0
D:	668.79	0.106307	0
D:	669.94	0.106307	0
D:	671.04	0.106307	0
D:	672.11	0.106307	0
D:	673.15	0.106307	0
D:	674.21	0.106307	0
D:	675.29	0.106307	0
D:	676.35	0.106307	0
D:	677.43	0.106307	0
D:	678.50	0.106307	0
D:	679.57	0.106307	0
D:	680.63	0.106307	0
D:	681.71	0.106307	0
D:	682.82	0.106307	0
D:	684.04	0.106307	0
D:	685.15	0.106307	0
D:	686.22	0.106307	0
D:	687.27	0.106307	0
D:	688.39	0.106307	0
D:	689.44	0.106307	0
D:	690.51	0.106307	0
D:	691.47	0.106307	0
D:	692.46	0.106307	0
D:	693.43	0.106307	0
D:	694.53	0.106307	0
D:	695.59	0.106307	0
D:	696.65	0.106307	0
D:	697.70	0.106307	0
D:	698.78	0.106307	0
D:	699.81	0.106307	0
D:	700.78	0.106307	0
D:	701.97	0.106307	0
D:	703.16	0.106307	0
D:	704.41	0.106307	0
D:	705.35	0.106307	0
D:	706.31	0.106307	0
D:	707.29	0.106307	0
D:	708.31	0.106307	0
D:	709.31	0.106307	0
D:	710.41	0.106307	0
D:	711.47	0.106307	0
D:	712.56	0.106307	0
D:	713.62	0.106307	0
D:	714.68	0.106307	0
D:	715.74	0.106307	0
D:	716.81	0.106307	0
D:	717.86	0.106307	0
D:	718.96	0.106307	0
D:	719.98	0.106307	0
D:	720.95	0.106307	0
D:	721.98	0.106307	0
D:	722.94	0.106307	0
D:	723.98	0.106307	0
D:	724.95	0.106307	0
D:	725.98	0.106307	0
D:	726.99	0.106307	0
D:	727.98	0.106307	0
D:	728.97	0.106307	0
D:	729.96	0.106307	0
D:	731.04	0.106307	0
D:	732.13	0.106307	0
D:	733.17	0.106307	0
D:	734.38	0.106307	0
D:	735.44	0.106307	0
D:	736.48	0.106307	0
D:	737.72	0.106307	0
D:	738.78	0.106307	0
D:	739.84	0.106307	0
D:	741.04	0.106307	0
D:	742.11	0.106307	0
D:	743.19	0.106307	0
D:	744.26	0.106307	0
D:	745.32	0.106307	0
D:	746.42	0.106307	0
D:	747.47	0.106307	0
D:	748.56	0.106307	0
D:	749.63	0.106307	0
D:	750.68	0.106307	0
D:	751.69	0.106307	0
D:	752.76	0.106307	0
D:	753.86	0.106307	0
D:	755.02	0.106307	0
D:	756.10	0.106307	0
D:	757.20	0.106307	0
D:	758.12	0.106307	0
D:	759.17	0.106307	0
D:	760.21	0.106307	0
D:	761.27	0.106307	0
D:	762.33	0.106307	0
D:	763.42	0.106307	0
D:	764.48	0.106307	0
D:	765.56	0.106307	0
D:	766.64	0.106307	0
D:	767.64	0.106307	0
D:	768.72	0.106307	0
D:	769.99	0.106307	0
D:	771.13	0.106307	0
D:	772.17	0.106307	0
D:	773.22	0.106307	0
D:	774.14	0.106307	0
D:	775.19	0.106307	0
D:	776.26	0.106307	0
