Syntax version=4
Wed Apr 04 08:56:57 2018
Starting process (2338332 clocks per sec)

LogRawData=false
VarHeader=1
D:		logic_U.speed	logic_Y.gas_out
D:	179.67	0.000000	0
D:	180.28	0.000000	0
D:	180.86	0.000000	0
D:	181.44	0.000000	0
D:	182.03	0.000000	0
D:	182.65	0.000000	0
D:	183.25	0.000000	0
D:	183.84	0.000000	0
D:	184.44	0.000000	0
D:	185.02	0.000000	0
D:	185.63	0.000000	0
D:	186.22	0.000000	0
D:	186.82	0.000000	0
D:	187.44	0.000000	0
D:	188.06	0.000000	0
D:	188.67	0.000000	0
D:	189.27	0.000000	0
D:	189.88	0.000000	0
D:	190.49	0.000000	0
D:	191.08	0.000000	0
D:	191.68	0.000000	0
D:	192.28	0.000000	0
D:	192.88	0.000000	0
D:	193.49	0.000000	0
D:	194.09	0.000000	0
D:	194.68	0.000000	0
D:	195.27	0.000000	0
D:	195.86	0.000000	0
D:	196.49	0.000000	0
D:	197.11	0.000000	0
D:	197.73	0.000000	0
D:	198.34	0.000000	0
D:	199.01	0.000000	0
D:	199.63	0.000000	0
D:	200.23	0.000000	0
D:	200.85	0.000000	0
D:	201.45	0.000000	0
D:	202.05	0.000000	0
D:	202.65	0.000000	0
D:	203.25	0.000000	0
D:	203.85	0.000000	0
D:	204.45	0.000000	0
D:	205.04	0.000000	0
D:	205.65	0.000000	0
D:	206.23	0.000000	0
D:	206.85	0.000000	0
D:	207.44	0.000000	0
D:	208.03	0.000000	0
D:	208.66	0.000000	0
D:	209.27	0.000000	0
D:	209.88	0.000000	0
D:	210.49	0.000000	0
D:	211.09	0.000000	0
D:	211.70	0.000000	0
D:	212.34	0.000000	0
D:	212.94	0.000000	0
D:	213.58	0.000000	0
D:	214.18	0.000000	0
D:	214.77	0.000000	0
D:	215.36	0.000000	0
D:	215.99	0.000000	0
D:	216.63	0.000000	0
D:	217.24	0.000000	0
D:	217.85	0.000000	0
D:	218.49	0.000000	0
D:	219.09	0.000000	0
D:	219.70	0.000000	0
D:	220.30	0.000000	0
D:	220.90	0.000000	0
D:	221.50	0.000000	0
D:	222.10	0.000000	0
D:	222.70	0.000000	0
D:	223.30	0.000000	0
D:	223.90	0.000000	0
D:	224.58	0.000000	0
D:	225.18	0.000000	0
D:	225.77	0.000000	0
D:	226.44	0.000000	0
D:	227.04	0.000000	0
D:	227.64	0.000000	0
D:	228.23	0.000000	0
D:	228.83	0.000000	0
D:	229.44	0.000000	0
D:	230.04	0.000000	0
D:	230.65	0.000000	0
D:	231.25	0.000000	0
D:	231.85	0.000000	0
D:	232.51	0.000000	0
D:	233.14	0.000000	0
D:	233.74	0.000000	0
D:	234.33	0.000000	0
D:	234.92	0.000000	0
D:	235.57	0.000000	0
D:	236.16	0.000000	0
D:	236.77	0.000000	0
D:	237.36	0.000000	0
D:	237.97	0.000000	0
D:	238.57	0.000000	0
D:	239.17	0.000000	0
D:	239.77	0.000000	0
D:	240.36	0.000000	0
D:	240.97	0.000000	0
D:	241.57	0.000000	0
D:	242.16	0.000000	0
D:	242.75	0.000000	0
D:	243.34	0.000000	0
D:	243.94	0.000000	0
D:	244.67	0.000000	0
D:	245.29	0.000000	0
D:	245.90	0.000000	0
D:	246.57	0.000000	0
D:	247.18	0.000000	0
D:	247.77	0.000000	0
D:	248.44	0.000000	0
D:	249.06	0.000000	0
D:	249.68	0.000000	0
D:	250.28	0.000000	0
D:	250.88	0.000000	0
D:	251.49	0.000000	0
D:	252.09	0.000000	0
D:	252.70	0.000000	0
D:	253.30	0.000000	0
D:	253.90	0.000000	0
D:	254.50	0.000000	0
D:	255.09	0.000000	0
D:	255.70	0.000000	0
D:	256.31	0.000000	0
D:	256.93	0.000000	0
D:	257.57	0.000000	0
D:	258.17	0.000000	0
D:	258.77	0.000000	0
D:	259.44	0.000000	0
D:	260.03	0.000000	0
D:	260.65	0.000000	0
D:	261.27	0.000000	0
D:	261.88	0.000000	0
D:	262.49	0.000000	0
D:	263.09	0.000000	0
D:	263.70	0.000000	0
D:	264.29	0.000000	0
D:	264.90	0.000000	0
D:	265.58	0.000000	0
D:	266.18	0.000000	0
D:	266.77	0.000000	0
D:	267.44	0.000000	0
D:	268.04	0.000000	0
D:	268.65	0.000000	0
D:	269.24	0.000000	0
D:	269.85	0.000000	0
D:	270.49	0.000000	0
D:	271.09	0.000000	0
D:	271.70	0.000000	0
D:	272.30	0.000000	0
D:	272.90	0.000000	0
D:	273.50	0.000000	0
D:	274.09	0.000000	0
D:	274.70	0.000000	0
D:	275.30	0.000000	0
D:	275.90	0.000000	0
D:	276.51	0.000000	0
D:	277.13	0.000000	0
D:	277.74	0.000000	0
D:	278.34	0.000000	0
D:	278.94	0.000000	0
