rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,level,name,msg,file,function,line,topics
1523873888469206123,,55,,1523873888,468965002,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.0971217846291376752)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873888477836329,,55,,1523873888,477640299,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971217846291376752)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873889469244512,,56,,1523873889,469001636,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.0971748965184366931)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873889473108307,,31,,1523873889,472811054,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523873889477946928,,56,,1523873889,477676736,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971748965184366931)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873890469200159,,57,,1523873890,468976585,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.0971646143031810183)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873890478004907,,57,,1523873890,477680487,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971646143031810183)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873891469242318,,58,,1523873891,469006009,'',2,"""/navsat_transform_node_right""","""Initial odometry pose is Origin","(0, -0, 3.0971368751056149726)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_right, /gps/filtered]"
1523873891477132967,,32,,1523873891,476766170,'',4,"""/ekf_se_odom""","""Transform from odom to base_link was unavailable for the time requested. Using latest\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter_utilities.cpp""","""RosFilterUtilities",127,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
1523873891477998611,,58,,1523873891,477705355,'',2,"""/navsat_transform_node_left""","""Initial odometry pose is Origin","(0, -0, 3.0971368751056149726)\n""","""/home/eve/eve/eve_ws/src/robot_localization/src/navsat_transform.cpp""","""NavSatTransform",714,"[/rosout, /tf_static, /odometry/gps_left, /gps/filtered]"
1523873892135363945,,1,,1523873832,298678106,'',2,"""/ekf_se_map""","""Valid clock time received. Starting node.""","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter.cpp""","""RosFilter<T>",1747,"[/rosout, /diagnostics]"
1523873892135370367,,2,,1523873892,135180267,'',4,"""/ekf_se_map""","""Failed to meet update rate! Took 0.11124303300000000505 seconds. Try decreasing the\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter.cpp""","""RosFilter<T>",1933,"[/rosout, /diagnostics, /odometry/filtered_map, /tf]"
1523873892136394585,,33,,1523873892,136176958,'',4,"""/ekf_se_odom""","""Failed to meet update rate! Took 0.11237517800000000612 seconds. Try decreasing the\","""/home/eve/eve/eve_ws/src/robot_localization/src/ros_filter.cpp""","""RosFilter<T>",1933,"[/rosout, /diagnostics, /odometry/filtered_odom, /tf]"
