Syntax version=4
Wed May 02 10:41:51 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)
D:	100.11	-1606	47	15752	-28	-8	-61	1539	637	5610
D:	101.00	-1606	47	15752	-28	-8	-61	1539	637	5610
D:	101.88	-1606	47	15752	-114	-60	3	1539	637	5610
D:	102.76	-1606	47	15752	-114	-60	3	1528	596	5495
D:	103.62	-1726	139	15826	-114	-60	3	1528	596	5495
D:	104.56	-1726	139	15826	-114	-60	3	1528	596	5495
D:	105.47	-1726	139	15826	-114	-3	-66	1528	596	5495
D:	106.49	-1726	139	15826	-79	-3	-66	1528	596	5495
D:	107.37	-1480	91	15483	-79	-3	-66	1528	596	5495
D:	108.28	-1480	91	15483	-79	-3	-66	1528	596	5495
D:	109.17	-1480	91	15483	-79	-3	-66	1528	596	5495
D:	110.12	-1480	91	15483	65	19	-61	1528	596	5495
D:	111.00	-1480	91	15483	65	19	-61	1528	596	5495
D:	111.92	-1724	128	15876	65	19	-61	1528	596	5495
D:	112.84	-1724	128	15876	65	19	-61	1528	596	5495
D:	113.73	-1724	128	15876	65	87	-65	1528	596	5495
D:	114.62	-1724	128	15876	34	87	-65	1528	596	5495
D:	115.56	-1667	147	15630	34	87	-65	1528	596	5495
D:	116.46	-1667	147	15630	34	87	-65	1528	596	5495
D:	117.34	-1667	147	15630	34	87	-65	1528	596	5495
D:	118.24	-1667	147	15630	-36	85	-31	1528	596	5495
D:	119.15	-1667	147	15630	-36	85	-31	1528	596	5495
D:	120.06	-1658	92	15647	-36	85	-31	1528	596	5495
D:	121.00	-1658	92	15647	-36	85	-31	1528	596	5495
D:	121.90	-1658	92	15647	42	-34	-51	1528	596	5495
D:	122.79	-1658	92	15647	42	-34	-51	1529	634	5533
D:	123.75	-1717	144	15995	42	-34	-51	1529	634	5533
D:	124.62	-1717	144	15995	42	-34	-51	1529	634	5533
D:	125.57	-1717	144	15995	42	92	-11	1529	634	5533
D:	126.46	-1717	144	15995	-86	92	-11	1529	634	5533
D:	127.37	-1813	92	15741	-86	92	-11	1529	634	5533
D:	128.26	-1813	92	15741	-86	92	-11	1529	634	5533
D:	129.15	-1813	92	15741	-86	92	-11	1529	634	5533
D:	130.06	-1813	92	15741	59	117	9	1529	634	5533
D:	131.00	-1813	92	15741	59	117	9	1529	634	5533
D:	131.89	-1788	67	15705	59	117	9	1529	634	5533
D:	132.89	-1788	67	15705	59	117	9	1529	634	5533
D:	133.93	-1788	67	15705	-8	41	49	1529	634	5533
D:	134.85	-1788	67	15705	-8	41	49	1529	634	5533
D:	135.76	-1578	31	15804	-8	41	49	1529	634	5533
D:	136.63	-1578	31	15804	-8	41	49	1529	634	5533
D:	137.56	-1578	31	15804	-8	110	79	1529	634	5533
D:	138.46	-1578	31	15804	105	110	79	1529	634	5533
D:	139.35	-1578	102	15548	105	110	79	1529	634	5533
D:	140.25	-1672	102	15548	105	110	79	1529	634	5533
D:	141.15	-1672	102	15548	105	110	79	1529	634	5533
D:	142.12	-1672	102	15548	144	212	42	1529	634	5533
D:	143.02	-1672	102	15548	144	212	42	1543	622	5555
D:	143.92	-1792	132	16108	144	212	42	1543	622	5555
D:	144.82	-1792	132	16108	144	212	42	1543	622	5555
D:	145.71	-1792	132	16108	144	143	-92	1543	622	5555
D:	146.56	-1792	132	16108	29	143	-92	1543	622	5555
D:	147.46	-1602	214	15816	29	143	-92	1543	622	5555
D:	148.36	-1602	214	15816	29	143	-92	1543	622	5555
D:	149.26	-1602	214	15816	29	143	-92	1543	622	5555
D:	150.21	-1602	214	15816	32	75	-69	1543	622	5555
D:	151.12	-1602	214	15816	32	75	-69	1543	622	5555
D:	152.19	-1725	29	15782	32	75	-69	1543	622	5555
D:	153.21	-1725	29	15782	32	75	-69	1543	622	5555
D:	154.12	-1725	29	15782	36	152	-104	1543	622	5555
D:	155.02	-1725	29	15782	36	152	-104	1543	622	5555
D:	155.91	-1780	188	15876	36	152	-104	1543	622	5555
D:	156.86	-1780	188	15876	36	152	-104	1543	622	5555
D:	157.84	-1780	188	15876	133	138	-61	1543	622	5555
D:	158.88	-1780	188	15876	133	138	-61	1543	622	5555
D:	159.77	-1647	76	15594	133	138	-61	1543	622	5555
D:	160.66	-1647	76	15594	133	138	-61	1543	622	5555
D:	161.59	-1647	76	15594	133	104	-77	1543	622	5555
D:	162.46	-1647	76	15594	64	104	-77	1530	630	5462
D:	163.36	-1647	179	15856	64	104	-77	1530	630	5462
D:	164.25	-1754	179	15856	64	104	-77	1530	630	5462
D:	165.12	-1754	179	15856	64	104	-77	1530	630	5462
D:	166.01	-1754	179	15856	-5	157	-88	1530	630	5462
D:	166.91	-1754	179	15856	-5	157	-88	1530	630	5462
D:	167.78	-1743	61	15928	-5	157	-88	1530	630	5462
D:	168.66	-1743	61	15928	-5	157	-88	1530	630	5462
D:	169.53	-1743	61	15928	-5	118	-30	1530	630	5462
D:	170.46	-1743	61	15928	193	118	-30	1530	630	5462
D:	171.35	-1743	98	15686	193	118	-30	1530	630	5462
D:	172.24	-1623	98	15686	193	118	-30	1530	630	5462
D:	173.12	-1623	98	15686	193	118	-30	1530	630	5462
D:	174.00	-1623	98	15686	97	165	-18	1530	630	5462
D:	174.91	-1623	98	15686	97	165	-18	1530	630	5462
D:	175.93	-1828	128	15914	97	165	-18	1530	630	5462
D:	177.02	-1828	128	15914	97	165	-18	1530	630	5462
D:	177.93	-1828	128	15914	46	96	-97	1530	630	5462
D:	178.84	-1828	128	15914	46	96	-97	1530	630	5462
D:	179.71	-1738	81	15605	46	96	-97	1530	630	5462
D:	180.59	-1738	81	15605	46	96	-97	1530	630	5462
D:	181.49	-1738	81	15605	46	172	-58	1530	630	5462
D:	182.41	-1738	81	15605	133	172	-58	1524	609	5523
D:	183.30	-1738	81	15605	133	172	-58	1524	609	5523
D:	184.17	-1705	125	15792	133	172	-58	1524	609	5523
D:	185.12	-1705	125	15792	133	172	-58	1524	609	5523
D:	186.00	-1705	125	15792	54	160	12	1524	609	5523
D:	186.90	-1705	125	15792	54	160	12	1524	609	5523
D:	187.80	-1774	156	15791	54	160	12	1524	609	5523
D:	188.67	-1774	156	15791	54	160	12	1524	609	5523
D:	189.56	-1774	156	15791	54	73	-51	1524	609	5523
D:	190.46	-1774	156	15791	126	73	-51	1524	609	5523
D:	191.34	-1774	108	15545	126	73	-51	1524	609	5523
D:	192.22	-1656	108	15545	126	73	-51	1524	609	5523
D:	193.12	-1656	108	15545	126	73	-51	1524	609	5523
D:	194.06	-1656	108	15545	32	131	-46	1524	609	5523
D:	195.00	-1656	108	15545	32	131	-46	1524	609	5523
D:	195.90	-1787	35	15611	32	131	-46	1524	609	5523
D:	196.79	-1787	35	15611	32	131	-46	1524	609	5523
D:	197.69	-1787	35	15611	32	225	-44	1524	609	5523
D:	198.56	-1787	35	15611	7	225	-44	1524	609	5523
D:	199.46	-1672	138	15661	7	225	-44	1524	609	5523
D:	200.32	-1672	138	15661	7	225	-44	1524	609	5523
D:	201.20	-1672	138	15661	7	225	-44	1524	609	5523
D:	202.22	-1672	138	15661	95	206	-20	1524	609	5523
D:	203.24	-1672	138	15661	95	206	-20	1524	636	5648
D:	204.13	-1620	114	15794	95	206	-20	1524	636	5648
D:	205.06	-1620	114	15794	95	206	-20	1524	636	5648
D:	206.00	-1620	114	15794	63	143	-4	1524	636	5648
D:	207.02	-1620	114	15794	63	143	-4	1543	636	5648
D:	208.01	-1811	150	15870	63	143	-4	1543	636	5648
D:	208.91	-1811	150	15870	63	143	-4	1543	636	5648
D:	209.80	-1811	150	15870	63	118	-66	1543	636	5648
D:	210.70	-1811	150	15870	133	118	-66	1543	636	5648
D:	211.58	-1687	50	15762	133	118	-66	1543	636	5648
D:	212.46	-1687	50	15762	133	118	-66	1543	636	5648
D:	213.32	-1687	50	15762	133	118	-66	1543	636	5648
D:	214.22	-1687	50	15762	63	83	-11	1543	636	5648
D:	215.12	-1687	50	15762	63	83	-11	1543	636	5648
D:	216.01	-1864	124	15810	63	83	-11	1543	636	5648
D:	216.90	-1864	124	15810	63	83	-11	1543	636	5648
D:	217.84	-1864	124	15810	63	76	-33	1543	636	5648
D:	218.73	-1864	124	15810	89	76	-33	1543	636	5648
D:	219.60	-1705	144	15910	89	76	-33	1543	636	5648
D:	220.48	-1705	144	15910	89	76	-33	1543	636	5648
D:	221.35	-1705	144	15910	89	76	-33	1543	636	5648
D:	222.25	-1705	144	15910	6	143	-53	1543	636	5648
D:	223.15	-1705	144	15910	6	143	-53	1543	636	5648
D:	224.10	-1553	-1	15784	6	143	-53	1543	636	5648
D:	225.19	-1553	-1	15784	6	143	-53	1543	636	5648
D:	226.19	-1553	-1	15784	43	74	13	1543	636	5648
D:	227.12	-1553	-1	15784	43	74	13	1537	597	5591
D:	228.02	-1734	146	16028	43	74	13	1537	597	5591
D:	228.88	-1734	146	16028	43	74	13	1537	597	5591
D:	229.78	-1734	146	16028	-213	82	-104	1537	597	5591
D:	230.66	-1734	146	16028	-7	82	-104	1537	597	5591
D:	231.57	-1737	67	15728	-7	82	-104	1537	597	5591
D:	232.44	-1737	67	15728	-7	82	-104	1537	597	5591
D:	233.30	-1737	67	15728	-7	82	-104	1537	597	5591
D:	234.19	-1737	67	15728	73	128	16	1537	597	5591
D:	235.28	-1669	58	15572	73	128	16	1537	597	5591
D:	236.27	-1669	58	15572	73	128	16	1537	597	5591
D:	237.15	-1669	58	15572	73	128	16	1537	597	5591
D:	238.06	-1669	58	15572	45	14	-65	1537	597	5591
