Syntax version=4
Wed May 02 10:43:07 2018
Starting process (2533211 clocks per sec)

LogRawData=false
VarHeader=1
D:		imu_acc_x	imu_acc_y	imu_acc_z	imu_gyro_x	imu_gyro_y	imu_gyro_z	imu_mag_x	imu_mag_y	imu_mag_z
D:	time(ms)	(0x20000236,3)	(0x20000238,3)	(0x2000023a,3)	(0x2000022a,3)	(0x2000022c,3)	(0x2000022e,3)	(0x20000230,3)	(0x20000232,3)	(0x20000234,3)
D:	114.00	-1768	11176	11550	-103	44	234	1406	-3173	4521
D:	114.90	-1768	11176	11550	-232	44	234	1406	-3173	4521
D:	115.80	-1719	11181	11870	-232	44	234	1406	-3173	4521
D:	116.71	-1719	11181	11870	-232	44	234	1406	-3173	4521
D:	117.59	-1719	11181	11870	-232	44	234	1406	-3173	4521
D:	118.53	-1719	11181	11870	-225	-38	283	1406	-3173	4521
D:	119.48	-1719	11181	11870	-225	-38	283	1406	-3173	4521
D:	120.51	-1729	11205	11602	-225	-38	283	1406	-3173	4521
D:	121.50	-1729	11205	11602	-225	-38	283	1406	-3173	4521
D:	122.45	-1729	11205	11602	-173	-90	287	1406	-3173	4521
D:	123.38	-1729	11205	11602	-173	-90	287	1406	-3173	4521
D:	124.40	-1765	11232	11642	-173	-90	287	1406	-3173	4521
D:	125.39	-1765	11232	11642	-173	-90	287	1406	-3173	4521
D:	126.27	-1765	11232	11642	-197	-62	179	1406	-3173	4521
D:	127.22	-1765	11232	11642	-197	-62	179	1406	-3173	4521
D:	128.12	-1676	11211	11758	-197	-62	179	1406	-3173	4521
D:	128.99	-1676	11211	11758	-197	-62	179	1406	-3173	4521
D:	130.01	-1676	11211	11758	-197	-131	214	1406	-3173	4521
D:	131.04	-1676	11211	11758	-285	-131	214	1399	-3204	4428
D:	132.00	-1700	11074	11653	-285	-131	214	1399	-3204	4428
D:	133.01	-1700	11074	11653	-285	-131	214	1399	-3204	4428
D:	133.89	-1700	11074	11653	-285	-130	320	1399	-3204	4428
D:	134.84	-1700	11074	11653	-284	-130	320	1399	-3204	4428
D:	135.90	-1740	11137	11750	-284	-130	320	1399	-3204	4428
D:	136.90	-1740	11137	11750	-284	-130	320	1399	-3204	4428
